项目编号,主体,关系,客体
19,《滇略》,内容 提及,士庶所用皆普 茶也蒸而团之
19,沱茶 早期形式,描述为,蒸而团之
19,永昌祥,成立地点,下关
19,永 昌祥,企业类型,茶叶精制加工厂
19,永昌祥,加工产品,紧茶
19,永 昌祥,加工产品,饼茶
19,永昌祥,标志 事件,沱茶工艺诞生
19,沱 茶生产,民族关联,白族人民
19,沱茶产品,运输路线,茶马古道
19,沱茶产品,销往地区,滇西北
19,沱茶产品,销往地区,西藏
19,沱 茶产品,销往地区,四川
19,沱茶产品,主要 消费者,藏胞
19,沱茶产品,历史作用,促进各 民族友好往来
20,云南普洱茶,历史追溯,商周时期
20,唐代,销售范围,内地和西藏
20,宋代,贸易政策地位,茶马互市
20,明代,销售盛况,士庶所有 皆普洱茶
20,清代,贡品地位,被列为贡品
20,清代,管理机构,官茶局
20,云南普洱茶,主要 产地,宁洱哈尼族 彝族自治县
20,云南普洱茶,主要产地,勐海县
20,勐海县,旧称,佛海
20,勐海 县,称号,世界茶 树发源地之一
20,范和钧,创建,勐海茶 厂
20,勐海茶厂,生产 品牌,大益牌普洱茶
20,大 益,评为,中国名牌 农产品
20,大益茶制作技艺,关键,拼配
20,大益茶 制作技艺,关键,发酵
20,拼配,定义,根据各个 茶叶品种的特点进行有效、合理的组合 取长补短以弥补单一品种 之不足
20,发酵,定义,人工后发的特殊技艺
21,云南普洱茶,传统制作工艺 起源时间,商 周时期
21,唐代,销售范围,内地和西藏
21,宋代,贸易政策地位,茶马互市
21,明代,销售盛况,士庶所有皆普洱茶
21,清代,贡 品地位,被列为贡品
21,清代,管理机构,官茶局
21,云南普洱茶,主产区,宁洱哈尼族彝 族自治县
21,云南普洱茶,主产区,勐海 县
21,宁洱 县普洱茶制作技艺,别称,贡茶制作技艺
21,贡茶制作技艺,形成方式,千百年 实践积累经验
21,茶叶采摘前,必要仪式,祭礼
21,祭礼内容,对象,茶神
21,制茶者,原料 选择标准,严格选择采摘地 和时节
21,制茶者,采摘方式,手摘
21,鲜叶加工环节,工艺 名称,杀青揉晒
21,杀青揉 晒目的,制成产品,晒青茶
21,后续工序,包含步骤,蒸、揉、压、定型 、干燥、包装
21,晒青茶,制成 产品,成品茶
21,普洱贡茶,组成部分,中华茶文化
21,普洱贡 茶传统制作技艺,作用,现代普洱茶工艺研发基础
21,普洱贡茶,研究价值领域,历史文化
21,普洱 贡茶,研究价值领域,民族学
21,普洱贡茶,研究 价值领域,民俗学
21,普洱贡茶,研究价值领域,科技 史
21,普 洱贡茶,潜在开发价值,回归自然生态需求
21,普洱贡茶,潜在开发价值,健康 文化消费趋势
22,贝叶经,傣语 称,坦兰
22,贝 叶经,刻写材料,贝多罗树叶
22,贝叶经,使用工具,铁笔
22,贝叶经,内容类型,佛教经文
22,贝叶经,起源地,古代印度
22,贝叶经,传入路径,斯里兰 卡
22,贝叶 经,传入路径,缅甸
22,贝叶经,传入路径,泰国
22,贝叶经,传入目的地,中国云南省西南 边疆地区
22,贝叶经遗存国家,包括,印度
22,贝叶经遗存国家,包括,泰国
22,贝叶经遗存国家,包括,缅甸
22,贝叶经遗存 国家,包括,老挝
22,贝叶经遗 存国家,包括,斯里 兰卡
22,云南省西双版纳,继承 技艺,贝叶经制作技艺
22,思茅,继承技艺,贝叶 经制作技艺
22,临沧,继承技艺,贝叶经制作技艺
22,德宏,继承技艺,贝叶经制作 技艺
22,西 双版纳,发现文字类型,傣文贝叶经
22,西双版 纳,发现文字类型,老挝文贝叶经
22,西双版纳,发现文字类型,缅甸文 贝叶经
22,西双版纳,发现 文字类型,泰国文贝叶 经
22,西 双版纳贝叶经,文本形式,巴利文本
22,西双版 纳贝叶经,文本形式,傣文本
22,西双版纳贝叶 经,规格类型,四 行式
22,西双版纳贝叶经,规格类型,五行式
22,西双版 纳贝叶经,规格类型,六行式
22,西双版纳贝 叶经,规格类型,八行式
22,傣族人民,记录内容,天文历法
22,傣族人民,记录内容,社会历史
22,傣族人民,记录内容,法规
22,傣族人民,记录内容,民俗
22,傣族人民,记录内容,医药
22,傣族人民,记录内容,生产
22,傣族人民,记录内容,生活
22,傣族人民,记录内容,伦理道德
22,傣族人民,记录内容,文学艺术
22,贝叶 经,文化属性,傣 族传统文化载体
22,贝叶经,研究价值,史学价值
22,贝叶经,研究 价值,民族学价值
22,傣族人民,视为珍宝,傣文贝 叶经
22,傣族人民,誉称,运载傣族历史文化的神舟
22,贝叶 经,别称,傣 族人民的百科全书
22,西双版纳佛寺,珍藏物品,贝叶经
22,普通百姓 家,珍藏物品,贝 叶经
23,傣族象 脚鼓制作技艺,主要流传地区,临沧市临 翔区
23,傣族象脚鼓制作 技艺,历史时长,五百 多年
23,代表性人物,俸传诗,忙畔街道办事处青华村
23,象脚 鼓形状象征,白象腿 ) 5. (象 脚鼓文化意义,图腾 崇拜
23,使用场合,泼水节) 7. (使用场合,关门节
23,使用场合,千 灯节) 9. (使用场合,开门节
23,使用 场合,立幡杆节) 11. (关联 国家,泰国
23,关联国家,缅甸) 13. (关联国家,老挝
23,历史文化渊源 地,西双版纳) 15. (历史文化 渊源地,德宏
23,特色类型,中小型) 1 7. (特色类型,轻便 型
23,特色类型,地域实用型 ) 19. ( 影响范围,中缅边境地区 傣族
24,云南,以铜器制作 闻名于世,先秦时代
24,朱提洗,产地,朱提
24,堂琅洗,产地,堂琅
24,朱提,现属地区,云南 昭通市
24,堂琅,现属 地区,东川县、会 泽县
24,明代云南铜器匠师,采用方法,冷锻成型
24,冷 锻成型,使用材料,天然斑铜矿石
24,天然斑铜矿石,来源地,东川附近
24,斑 铜制品,包括类型,人物
24,斑铜制品,包括类型,动物
24,斑铜制品,包括类型,仿古瓶
24,斑铜制品,包括类型,鼎
24,斑铜制品,包括类型,炉
24,斑铜 制品,包括类型,罐
24,斑 铜制品,包括类型,爵
24,铜,掺杂金属,金
24,铜,掺杂金属,银
24,斑铜,特征,特殊 辉斑
24,斑铜,颜色,深蓝
24,斑铜,颜色,紫金
24,斑铜,颜色,赤红
24,斑铜,最耀眼颜色,金黄色
24,斑 铜器物,表面处理工艺,抛光
24,抛光后斑铜器 物,呈现效果,古 铜色底子
24,抛光后斑铜器 物,呈现效果,斑 彩熠熠天然效果
24,斑铜器 物斑影,特点,无一雷同
24,斑铜制作技艺,所属类别,云南独特 传统手工艺
24,斑铜制作技艺,具有价值,历史价值
24,斑 铜制作技艺,具有价值,文化价值
24,保护并发展斑铜 制作技艺,意义,展现 民族文化创造力
25,傣族织 锦,是,傣族先 民劳动的产物
25,傣族织 锦,属于,傣族 传统手工艺最早期的重要品种
25,傣族 织锦,与...相关,傣族人民的日常生活
25,傣族织锦,与...相关,佛教 信仰
25,傣族织锦,与... 相关,鬼神崇拜
25,傣族织锦,体现社会风习,男耕女织的农耕社会风 习
25,傣族织锦,由... 制作,妇女之手
25,傣族织锦,图案包含,高洁 的荷花
25,傣族织锦,图案 包含,挺立的槟榔
25,傣族织锦,图案包含,吉祥的孔雀
25,傣族织 锦,图案包含,庄重 的大象
25,傣族织锦,图案包含,威严的麒麟和 龙凤
25,傣族织锦,图案包含,佛塔
25,傣族 织锦,表达主题,对真善美的追求和向往
25,傣 族织锦,采用底色,白底
25,傣族织锦,使用图案类型,单一 独立的图案
25,傣族织锦,使用图案类型,多次重复的 连续图案
25,傣族织锦,呈现形式,剪影式的侧面 造型
25,傣族织锦,强调 特性,对称性
25,傣族织 锦,强调特性,对比 性
25,傣族织锦,强调 特性,连续性
25,傣族织锦,讲究结合方式,疏 密结合
25,傣族织锦,讲究结合方式,具象和 抽象结合
25,傣族织锦,具有价值,历史文化价值
25,傣族 织锦,具有价值,美学价值
25,傣族织锦,面临现状,灭绝之境
25,傣 族织锦,需要措施,科学、合理地保护和开发
25,保护和开发傣族织锦,意义在于,弘扬傣族 的优秀文化
26,藏族黑陶 烧制技艺,主要分布地区,云南省迪庆藏族自治州 香格里拉县尼西乡 汤堆村
26,藏族黑陶烧制技艺,主要分布地区,四川省稻城县 赤土乡阿西村
26,藏族黑陶烧制 技艺,主要分布地区,青海省玉树地区囊谦县
26,汤堆村村民,拥有传统手工艺,烧制黑陶
26,汤堆村藏族黑陶烧 制工艺,采用原料,白色和红色陶土加风化 沙石研磨而成的石粉
26,汤堆村藏族黑 陶制作工具,包括,木 拍、木刮、木垫、 木榔头
26,汤堆村黑陶烧制工艺,经过步骤,选土
26,汤堆村 黑陶烧制工艺,经过 步骤,练土
26,汤堆村黑陶烧 制工艺,经过步骤,制坯
26,汤堆村黑陶烧制工艺,经过步骤,镶瓷
26,汤堆 村黑陶烧制工艺,经过步骤,磨光
26,汤堆村黑 陶烧制工艺,经过步骤,装饰
26,汤堆村黑陶烧制 工艺,经过步骤,阴 干
26,汤 堆村黑陶烧制工艺,经过步骤,烧制
26,汤堆村 黑陶烧制工艺,经过 步骤,渗炭
26,汤堆村黑陶 烧制工艺,经过步骤,防裂
26,汤堆村制作陶坯方法,采用,泥条盘 筑法
26,汤堆村藏族黑陶手工艺 产品,分为类别,日常生活 用品
26,汤 堆村藏族黑陶手工艺产品,分为类别,宗教用具
26,阿西 村烧制藏族黑陶,使用原料,当地泥土加其他 两种泥土混合
26,阿西黑陶成型方式,借助,捏、捶、 敲、打等手工技艺
26,阿西黑陶 装饰材料,使用,碎 瓷片花纹
26,阿西黑陶烧制燃料,使用,松柴
26,阿西黑 陶成品颜色变化,由黄 褐色变为黑色) 25. (阿西黑陶制品类型,"包括, 陶锅、陶罐 、陶盆、陶壶、陶 瓶"
26,囊 谦藏族黑陶起源传说,相传来自,唐代文成公主 进藏和亲途经玉树地区 时流传
26,囊谦藏族黑陶选材,使用,当地纯净细腻的 红胶土和黏土
26,囊谦藏族黑 陶制作工艺,包括步骤,手工捣碎
26,囊谦藏族黑陶制作工艺,包括步骤,筛选
26,囊谦藏族黑 陶制作工艺,包括步骤,拉坯
26,囊谦藏族黑陶制作工艺,包括步骤,晾晒
26,囊谦藏族黑 陶制作工艺,包括步骤,修整
26,囊谦藏族黑陶制作工艺,包括步骤,压光
26,囊谦藏族黑 陶制作工艺,包括步骤,绘制
26,囊 谦藏族黑陶烧制方法,采用,封罐熏烟 渗碳法
26,囊谦藏族黑陶烧制 控制要素,包括,温度
26,囊谦藏族 黑陶烧制控制要素,包括,湿度
26,囊谦藏族黑陶制品类型,包括,坛罐
26,囊谦藏族黑 陶制品类型,包括,壶
26,囊谦 藏族黑陶制品类型,包括,香炉
26,囊谦藏族黑陶制品类型,包括,酥油灯具
26,囊谦藏族 黑陶制品类型,包括,宗教用品
26,囊谦藏族黑陶特点,具有,较高的学术价值于藏 文化发展史研究
26,囊谦藏族黑陶特点,具有,较高的学术价值 于藏汉文化交流史研究
27,建水县,位于,云南省南部
27,建水陶 器,产于,碗窑村
27,碗窑村烧制建水紫 陶的技艺,始于,清代道光年间
27,碗窑村,在宋 元时代已能够烧制,一般陶器
27,遗存至今的元代龙窑 和陶器残片,是 明证,碗窑村在 宋元时代就已能够烧制 一般陶器
27,碗窑村,以...而得名,烧制陶器
27,碗窑村,从事陶器生产的人数,近 三千人
27,建 水陶器烧制技艺,由...组成,制泥、 手工拉坯、湿坯装饰、 雕刻填泥、高温烧制、 无釉磨光等工艺
27,建水陶器所用的 陶土,呈,紫色
27,建水 陶器,又称,紫 陶
27,成品,具有,良好的透气性能
27,成品,无铅无毒) 13 . (成品,品质明净 如镜
27,成品,叩之清脆如磬 ) 15. (建水 陶器,"多以...作为 装饰, 传统中国书法、绘画"
27,建水 陶器,风格,古朴 高雅文气盎然
28,纳西族 东巴纸,又称,白 地纸
28,纳西族东 巴纸,制作技艺保存地,迪庆藏族自治州香格里 拉县三坝纳西族乡 的白地村
28,白地,即,白水台
28,白水台,是,纳西族东 巴文化的发祥地
28,东巴纸,用途,东巴最重要的写 经用纸
28,东巴纸,原料,阿当达
28,阿当达,鉴定为,瑞香科 丽江荛花
28,东巴纸制作过程,包括工序,采集原料、晒 干、浸泡、蒸煮、洗涤 、舂料、再舂料、 浇纸、贴纸、晒纸
28,东 巴纸制作工具,包括,纸帘、木框、晒纸 木板、木臼
28,东巴纸的活动 纸帘,特点,较为 特殊
28,东巴纸的晒纸过程,受影响于,浇 纸法
28,东巴纸的晒纸 过程,有痕迹,抄 纸法
28,东巴纸,兼容 并蓄结果,中国造纸术 与印巴次大陆造纸法
28,白 地东巴纸,特性,色白质厚不易遭虫 蛀可长期保存
28,白地东巴 纸,书写载体,五千 多卷东巴经典
28,白地东 巴纸,贡献,弘扬 东巴文化
28,白地东巴纸,研究价值,我国手工 造纸的难得实例
28,纳西族造纸 技艺,传统传承方式,传子不传女
28,纳西族 造纸技艺,生产组织形式,家庭作坊
28,纳西族造纸技艺,面临危机,现代商业 社会的压迫下随时都有消亡的可能
28,纳 西族造纸技艺,需求措施,急需抢救和保护
29,以下 是 从问题 中提取的知识 图谱三元组： 1. 户 撒刀锻制技艺,流传于,云南省德 宏傣族景颇族自治州陇川 县西北部的户撒乡 2 . 阿昌族人 - 掌握了 - 锻制和铸造铁器的 要领（在唐代） 3 . 明代三征麓川 - 使 - 户撒成为了兵 工厂 4. 阿昌族人 - 吸收了 - 汉族的 兵器制造技术 5. 明 末清初 - 户撒刀 锻制工艺走向成熟 6. 民国年间 - 户撒刀 生产达到鼎盛 7. 户 撒刀制作过程 - 包括 - 下料、制坯、打样 、修磨、饰叶、淬火 、创光、做柄、制 带、组装等工序 8. 淬火技艺 - 使 - 刀叶的硬度和韧性达到最佳 状态 9. 户撒刀 品种 - 繁多 - 功能多样 10. 户撒刀 品种 - 包括 - 生产工具、 生活用具及装饰性工艺品三大类 一百二十多种 11. 户 撒刀 - 服务区域 - 周边民族和邻近地区及西藏、 青海等地，还出口东南亚地区 12. 外来文化和社会经济 转型 - 使 - 户撒 刀制作的传统技艺和设备面临被 现代机械及原材料替代之势 1 3. 老艺人年事已 高且后继乏人 - 导致 - 阿昌族户撒 刀技艺面临失传的危险 1 4. 阿昌族户撒 刀技艺 - 急需抢救和保护
30,芦笙,类型,多簧气鸣乐器
30,芦笙,用途,民间娱乐
30,芦笙,地位,圣器
30,芦笙,关联文化 象征,风调雨顺
30,芦笙,关联文化象征,五 谷丰登
30,芦笙,功能,与神灵沟通
30,芦笙,功能,与先祖交流
30,芦笙,历史记载文献,《楚辞 》
30,芦笙,历史记载文献,《新唐书》
30,芦笙,历史记载文献,《黔书 》
30,贵州省凯里市舟溪镇 新光村,居住民族,潘姓苗族居民
30,新光 村,特色产业,芦 笙工匠
30,新光村潘氏家族,定居代数,十九 代
30,新光村潘氏家族,定居时长,五百多年
30,芦 笙制作材料,包括,本地 竹木
30,芦笙制作材料,包括,响铜
30,新光村,称号,芦笙制作艺术 之乡
30,凯里新光苗族传统 芦笙,结构特点,六管
30,凯里新光苗族 传统芦笙,音阶体系,中国传统五声音阶
30,芦笙 发音原理,使用部件,响铜簧片
30,芦笙音准 确定方式,依赖,工匠 辨音能力
30,主奏芦笙组,特点,音准绝对 相同
30,芦笙合奏,符合 原理,和声学原理
30,新 光芦笙制作技艺,传承 方式,父传子、子 传孙
30,芦笙制作学习路径,要求,实践积累经验
30,芦 笙制作学习要素,包括,悟性
30,芦笙制作学习要素,包括,感觉
30,新光芦笙,属性,乐器
30,新光 芦笙,属性,精美 工艺品
31,扎染,古称,绞缬
31,扎染,属于,纺织品染色技艺
31,周城村,位于,大理白族自治州 大理市
31,大 仓,位于,巍山 彝族回族自治县
31,庙街,位于,巍山彝族回族自治县
31,周城白族扎 染业,被命名为,民族扎染之乡
31,东汉时期,有,染织之法
31,唐贞元十六年,南 诏舞队到长安献艺所 着舞衣裙襦鸟兽草木 文以八彩杂革,为扎染而成
31,明清时期,洱海白 族地区的染织技艺,到达 很高水平
31,明朝洱海卫红布,是,名噪一时的畅销 产品
31,清代 喜洲布,是,名噪一时的畅销产品
31,大理布,是,名噪一时的畅销 产品
